"id";"label";"group"
"0B2C66F5-C2D3-433A-B7E7-59FDAD4F5476";"physical features,  anthropometry,  anthroposcopy";"Features [F]"
"11F8E1B4-FCCD-45D8-A0BF-DD02A9654016";"rasoobrazovanie / ""formation of races""";"Features [F]"
"7F9C0B9E-29F7-4D45-BB4B-90D1BCC8A6CB";"narodnaja gruppa / gruppa narodov";"Features [F]"
"CE053D58-3BF8-481F-A21D-6C71B4718DC7";"""racial type"" / rasovyj tip / rasa";"Features [F]"
"9461EF95-5E29-4101-A944-69A387D1EA42";"cinema";"Features [F]"
"B9ADB266-610F-469C-9281-179348324D32";"predki / ancestors / osnova";"Features [F]"
"FB228B7F-D2C2-4521-A6DA-FAF187405B0B";"shamanskij obrjad / verovanija / obychai shamanstvo";"Features [F]"
"FC8417ED-2A41-42DD-864C-A4A35BAEF4D2";"profession / zanjatie";"Features [F]"
"CA745B9B-4ABB-4426-BDB2-82CC8B0BA578";"social / ethnic psychology / socionormativnaja kul'tura";"Features [F]"
"D0EF30FC-CC98-49DD-9F8B-8539B7C784A9";"kasta / caste system";"Features [F]"
"0FE873E0-78F5-49C8-B1D0-545400992D42";"cennostnye / socionormativnye ustanovki / values";"Features [F]"
"2359D32B-9818-4242-8B94-A13EE00CE93C";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"Features [F]"
"40CA1295-C5EF-47BA-AA2B-32E86F4E8817";"family life / obychai i obrjady svjazannye s semejnoj zhisni";"Features [F]"
"7466B172-8DA7-4D20-B084-C106F88A75C8";"child birth / obychai i obrjady svjazannye s rozhdeniem";"Features [F]"
"3680F8F2-6E48-4E9F-AC96-41E213458A16";"weddings / svadebnye obychai i obrjady / kalym";"Features [F]"
"C445365C-68E2-433C-BF01-D01F52F72C54";"death / funerals / pogrebal'nye obychai i obrjady";"Features [F]"
"7D0420E0-4A37-4915-93B3-5198B0422F1D";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"Features [F]"
"1DE9C1F8-0731-4E3F-B72F-DD7ED7212FBD";"zanjatnost' / employment";"Features [F]"
"00EB74E9-500C-42AD-9E8D-F0E6991E9E8C";"trade / economic production";"Features [F]"
"59630020-8817-4BD0-AEE6-855DA158D20E";"narodnye tradicii / nacional'nye tradicii / kul'turnye tradicii";"Features [F]"
"0ACCD3B6-DCC5-4CB5-88F3-06272AB03197";"animizm / kul'ty";"Features [F]"
"074D07E8-8D05-4A77-A726-C2ED667DF56B";"predstavlenija / magicheskie predstavlenija / magical beliefs";"Features [F]"
"D7282AF0-3414-49EF-8361-E53813742C2E";"transportation";"Features [F]"
"5073F99B-AACF-4311-83BC-2FCF649EF656";"mozaichnost' / ethnic heterogeneity";"Features [F]"
"F57B496B-9371-4BCD-A706-9BDE87ADE4D1";"zolotoshvejnoe delo / gold embroidery";"Features [F]"
"F8845865-EC13-403B-95C0-8DE3C514B48F";"sueverii / superstitions";"Features [F]"
"DF188EEE-CE25-4538-AE76-AD2453343E8F";"sadovodstvo / horticulture";"Features [F]"
"73017DC8-57F1-4675-9068-7B068EDACD63";"razvlechenija / entertainment";"Features [F]"
"3286C25B-F1AF-4409-8C00-E4FC9E609101";"dances";"Features [F]"
"FD0AEBA3-5E9F-44C4-B0AA-1993359C59CC";"pottery / goncharnoe proizvodstvo / goncharstvo";"Features [F]"
"C07A9423-288D-449C-887C-B81E4B51F46E";"archaeology / mesolithic or neolithic monuments or culture";"Features [F]"
"5FBF47B4-13B3-48C2-9ECE-86EA0C493BAB";"hunting / okhota";"Features [F]"
"03F10FF3-C58D-4389-AC55-6912C1A6AEDD";"food / cooking / pissha";"Features [F]"
"46E590AE-8AE6-4003-BEC1-291A4E8BA38C";"history";"Features [F]"
"48826437-C54A-4AB6-92D7-0AABBCFE22E9";"ekonomicheskoe razvitie / economic development";"Features [F]"
"B3C7FB35-DB0C-4DA2-92D2-68316518C5E5";"settlements / raspolozhenie poselenij";"Features [F]"
"5DDCAF86-82D0-41B3-A763-DF2F4E85B472";"textile production / handicraft / weaving / vyshivka";"Features [F]"
